Départ,Arrivée,Distance (m)
Saint-Pierre-des-Corps,Tours,2711.674
Tours,Saint-Pierre-des-Corps,2711.674
Rouen Rive Droite,Oissel,13674.668
Rouen Rive Droite,Val-de-Reuil,27861.578
Rouen Rive Droite,Gaillon - Aubevoye,46256.816
Rouen Rive Droite,Vernon - Giverny,59450.703
Rouen Rive Droite,Mantes-la-Jolie,82172.172
Rouen Rive Droite,Paris Saint-Lazare,139210.781
Paris Saint-Lazare,Mantes-la-Jolie,57054.238
Paris Saint-Lazare,Vernon - Giverny,79740.781
Paris Saint-Lazare,Gaillon - Aubevoye,92942.609
Paris Saint-Lazare,Val-de-Reuil,111340.109
Paris Saint-Lazare,Oissel,125530.445
Paris Saint-Lazare,Rouen Rive Droite,139191.375
Paris Saint-Lazare,Rosny-sur-Seine,62536.727
Paris Saint-Lazare,Bonnières,68624.055
Rouen Rive Droite,Bonnières,70565.547
Rouen Rive Droite,Rosny-sur-Seine,76654.891
Val-de-Reuil,Oissel,14190.342
Val-de-Reuil,Rouen Rive Droite,27859.133
Paris Saint-Lazare,Pont-de-l'Arche,118751.586
Rouen Rive Droite,Pont-de-l'Arche,20438.775
Orléans,Les Aubrais,2051.803
Orléans,Paris Austerlitz,121112.313
Les Aubrais,Paris Austerlitz,119056.711
Paris Austerlitz,Les Aubrais,119224.031
Paris Austerlitz,Orléans,121275.852
Orléans,Blois - Chambord,58832.672
Orléans,Onzain - Chaumont-sur-Loire,73894.641
Orléans,Amboise,91281.898
Orléans,Saint-Pierre-des-Corps,112017.859
Orléans,Tours,114729.211
Paris Austerlitz,Blois - Chambord,178181.703
Paris Austerlitz,Onzain - Chaumont-sur-Loire,193243.656
Paris Austerlitz,Amboise,210630.891
Paris Austerlitz,Saint-Pierre-des-Corps,231360.578
Paris Austerlitz,Tours,234070.719
Paris Austerlitz,Meung-sur-Loire,139007.625
Paris Austerlitz,Beaugency,146574.625
Paris Austerlitz,Mer,158633.016
Tours,Amboise,23439.732
Tours,Blois - Chambord,55890.293
Tours,Les Aubrais,114846.031
Tours,Paris Austerlitz,233901.813
Tours,Onzain - Chaumont-sur-Loire,40826.988
Tours,Mer,75440.398
Tours,Beaugency,87499.078
Tours,Meung-sur-Loire,95066.07
Orléans,Meung-sur-Loire,19658.088
Orléans,Beaugency,27225.699
Orléans,Mer,39284.105
Tours,Orléans,114724.664
Calais Ville,Boulogne sur Mer,35171.875
Calais Ville,Étaples - Le Touquet,81418.336
Calais Ville,Rang-du-Fliers - Verton - Berck,79272.563
Calais Ville,Rue,95470.961
Calais Ville,Noyelles-sur-Mer,105371.016
Calais Ville,Abbeville,118990.195
Calais Ville,Amiens,163896.375
Calais Ville,Longueau,168561.469
Calais Ville,Paris Gare du Nord,294703.625
Amiens,Longueau,4671.929
Amiens,Paris Gare du Nord,130814.445
Abbeville,Amiens,52316.723
Abbeville,Longueau,49577.109
Abbeville,Paris Gare du Nord,175719.75
Boulogne sur Mer,Étaples - Le Touquet,29258.621
Boulogne sur Mer,Rang-du-Fliers - Verton - Berck,37924.82
Boulogne sur Mer,Rue,54123.227
Boulogne sur Mer,Noyelles-sur-Mer,64023.293
Boulogne sur Mer,Abbeville,77642.477
Boulogne sur Mer,Amiens,122548.617
Boulogne sur Mer,Longueau,127219.609
Boulogne sur Mer,Paris Gare du Nord,253362.047
Calais Ville,Saint-Just-en-Chaussée,215048.031
Calais Ville,Clermont de l'Oise,229480.766
Calais Ville,Creil,244382.047
Paris Gare du Nord,Creil,50272.203
Paris Gare du Nord,Longueau,126081.695
Paris Gare du Nord,Amiens,130753.094
Paris Gare du Nord,Abbeville,175655.484
Paris Gare du Nord,Noyelles-sur-Mer,189276.922
Paris Gare du Nord,Rue,199175.797
Paris Gare du Nord,Rang-du-Fliers - Verton - Berck,215374.547
Paris Gare du Nord,Étaples - Le Touquet,226691.641
Paris Gare du Nord,Boulogne sur Mer,253290.625
Paris Gare du Nord,Calais Ville,294643.875
Paris Gare du Nord,Marquise - Rinxent,269719.094
Douai,Arras,30942.348
Douai,Longueau,91507.07
Douai,Creil,167318.281
Douai,Paris Gare du Nord,217640.141
Lille Flandres,Arras,66972.609
Lille Flandres,Longueau,125028.664
Lille Flandres,Creil,200837.0
Lille Flandres,Paris Gare du Nord,251158.844
Lille Flandres,Douai,40202.813
Paris Gare du Nord,Arras,192273.141
Paris Gare du Nord,Lille Flandres,251104.734
Paris Gare du Nord,Douai,217577.266
Lille Flandres,Chantilly - Gouvieux,210139.078
Cambrai,Caudry,15837.908
Cambrai,Busigny,26144.469
Cambrai,Saint-Quentin,53442.664
Cambrai,Compiègne,122954.977
Cambrai,Paris Gare du Nord,206559.156
Paris Gare du Nord,Compiègne,83556.266
Paris Gare du Nord,Saint-Quentin,153069.563
Paris Gare du Nord,Aulnoye-Aymeries,215609.578
Paris Gare du Nord,Maubeuge,228331.328
Maubeuge,Aulnoye-Aymeries,13959.881
Maubeuge,Saint-Quentin,81697.758
Maubeuge,Compiègne,144769.844
Maubeuge,Paris Gare du Nord,228374.016
Paris Gare du Nord,Pont-Sainte-Maxence,61896.715
Paris Gare du Nord,Noyon,107020.531
Paris Gare du Nord,Chauny,123461.367
Paris Gare du Nord,Tergnier,131124.266
